City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Koungou,YT,80.31,scattered clouds,-12.7336,45.2042,Villa Netibor
3,Alice Springs,AU,74.21,clear sky,-23.7,133.8833,Desert Palms Alice Springs
5,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
6,Bengkulu,ID,79.5,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
7,Matara,LK,81.05,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
8,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
9,Byron Bay,AU,71.87,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
10,Kapaa,US,78.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Hithadhoo,MV,84.15,few clouds,-0.6,73.0833,Scoop Guest House
15,Mayo,US,74.52,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
21,San Ciro De Acosta,MX,79.29,overcast clouds,21.6333,-99.8167,Hotel Maria Isabel
22,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
25,Naze,JP,79.72,few clouds,28.3667,129.4833,奄美ポートタワーホテル
32,Asyut,EG,75.38,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
33,Tateyama,JP,71.15,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
37,Port Alfred,ZA,73.06,few clouds,-33.5906,26.891,The Halyards Hotel
38,Cedar City,US,73.18,few clouds,37.6775,-113.0619,Hampton Inn Cedar City
39,Jamestown,US,71.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
41,Gold Coast,AU,76.24,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
46,Bandarbeyla,SO,82.72,overcast clouds,9.4942,50.8122,JABIR HOTEL
49,Camopi,GF,72.3,broken clouds,3.1655,-52.3158,
50,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
52,Ingham,US,72.63,clear sky,42.6,-84.3833,Sunset Place
53,Shelburne,CA,70.2,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
57,Puro,PH,86.97,overcast clouds,12.4841,123.3827,
58,Samarai,PG,80.55,overcast clouds,-10.6167,150.6667,Nuli Sapi
59,Itaituba,BR,73.74,overcast clouds,-4.2761,-55.9836,Hotel Campos
67,Alugan,PH,82.85,overcast clouds,12.2188,125.4808,JM Lodge
69,Airai,TL,73.69,broken clouds,-8.9266,125.4092,Juvinal Martin
70,Atuona,PF,80.15,few clouds,-9.8,-139.0333,Villa Enata
71,Butaritari,KI,82.22,moderate rain,3.0707,172.7902,Isles Sunset Lodge
73,Beirut,LB,79.86,clear sky,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
78,Arraial Do Cabo,BR,70.92,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
81,Awjilah,LY,78.17,clear sky,29.1081,21.2869,
84,Avera,US,74.71,overcast clouds,33.194,-82.5271,
90,Dothan,US,78.71,overcast clouds,31.2232,-85.3905,Courtyard by Marriott Dothan
92,Sao Filipe,CV,74.66,overcast clouds,14.8961,-24.4956,Tortuga B&B
93,Rikitea,PF,73.17,broken clouds,-23.1203,-134.9692,Pension Maro'i
95,Aripuana,BR,78.76,overcast clouds,-9.1667,-60.6333,
96,Laurel,US,74.21,clear sky,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
